,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362
0,0,8055,13200,21774,29582,700963,212753,4289,3927,329382,333029,2722,3157,2630,2230,674470,1549,5411,347380,5713,1839,2211,3771,420530,7163,269912,873180,9949,6852,30236,9202,3632,332110,445956,23751,442753,331806,25922,23807,67961,30344,309690,12471,2063,4823,662947,10345,662069,2494,13084,661154,2255,201867,910864,191747,310030,4362,12039,3715,6165,2935,2528,4118,32101,15767,1862,769192,665743,75420,873920,4026,63939,9263,27560,3149,5129,5534,201963,5597,16921,659584,43103,3653,11829,1499,663077,100003,6675,16903,205391,639627,67366,13423,660160,85739,241848,27560,662537,9970,20217,2671,8781,3290,14076,6720,82208,124889,10390,5155,2710,8085,15763,6701,43103,9673,443722,2243,46866,7549,5742,18626,4228,3355,659231,659441,6374,1099,4995,86897,1550,5117,6813,4407,7309,1261,19115,3449,4735,10897,332385,2818,9636,2218,21949,20453,270079,5307,7771,3387,3793,1495,204683,82350,204468,15677,334646,246234,660188,69113,6761,651993,4446,331643,694,178481,11553,7125,2002,6481,3845,3429,2712,30224,662060,1812,331470,4719,315875,4482,12481,151343,128968,4962,183202,660124,2104,442552,41384,189931,226762,370942,293296,231877,195343,51352,18704,9060,935833,300811,178431,21563,74683,433429,19178,386650,204186,4531,13590,211852,28829,7748,472328,403898,391289,651563,9748,3604,9597,661810,664734,441103,872965,875170,71854,192019,174347,192317,183874,305463,214128,181596,444316,298923,15866,351452,14611,15581,5257,245146,204811,56563,5019,162020,10951,23375,20047,27846,659715,268924,3834,5274,10310,229082,659426,663755,186644,3192,5400,255701,129246,269046,241571,192048,34800,472328,340629,226957,171217,22091,2259,1082,6570,2085,1375,194088,68005,441148,649843,220708,197831,640,332401,190107,347450,757673,638323,11441,177445,269452,2515,873042,242720,245479,6224,349729,268364,19501,5644,150215,243372,56871,203628,201809,26906,52845,235047,74788,76989,181150,177925,91102,76603,138370,177949,141547,202598,318712,285868,323613,264987,675931,92272,262265,250689,523298,598709,363276,348315,374084,84978,121046,111425,165517,187000,9027,175797,139861,442485,170175,182477,182658,328054,170885,330614,910590,334782,448321,395095,394972,242133,321741,352958,367209,329629,111226,207246,208594,243011,4534,319706,374965,135476,136656
1,9016,0,6086,22423,21929,694581,206372,13305,6161,323000,326647,8907,8931,9196,6926,668089,10565,14427,340999,14729,8030,8777,12208,425393,15004,291586,866799,2296,10854,41243,628,12069,325728,450819,16098,447616,325424,32619,16155,61100,22691,314553,4818,10061,12912,656566,3231,655687,10931,5432,654773,8912,195485,904483,184885,314893,11052,4386,12732,7278,11481,8460,13134,24448,8925,10878,762811,659362,68559,867538,13042,81236,9998,21179,12165,13566,13497,195582,2487,9268,653203,43311,10419,19009,9706,656696,106700,14777,9251,199009,670324,51912,7042,653779,87826,234986,21179,656156,2855,24759,8865,1667,8597,14872,5705,66754,109435,2737,14171,8263,21175,25743,5756,43311,18690,448585,9559,31412,9090,3100,30431,13244,9129,652850,653059,3426,9584,14011,88984,10566,11236,4166,12789,4644,10277,11462,12465,8278,3782,326004,11835,10372,9620,26436,21102,291753,4992,897,12404,5489,8876,198302,99646,198086,8025,328265,239372,653807,53659,4509,645612,13462,325261,9710,172100,14291,6281,8364,4241,10590,6701,11728,41231,655679,8157,325089,7857,309494,7960,5367,144962,146679,12257,167748,653743,10743,447416,33732,183069,231625,375806,277842,216423,188961,43699,25401,16648,929451,293950,162977,26426,66731,438292,11525,380269,197805,13547,7209,233526,21968,1537,465947,397516,396152,645182,18764,7388,13883,655429,658353,445967,866584,868789,56400,185158,167966,185456,168420,310326,207747,203271,449179,303786,23229,345070,5721,13535,14237,238284,198430,48911,5506,155639,19898,15722,12395,20194,653334,262543,12850,13711,2658,233945,653044,657373,179782,8504,5593,248839,146957,262665,234709,185186,48777,465946,334248,231820,164836,22740,10420,9519,10048,10022,8918,187227,61143,446011,643462,214327,191450,9656,326019,183725,341069,751291,660020,20591,199120,263071,8878,866661,235858,238617,4667,343347,261982,21589,14660,143834,236990,49219,197247,194947,31770,70141,228186,59334,70608,174769,171543,75648,70221,131508,171568,135166,195736,323576,279487,328476,258606,669550,85891,283940,272364,516916,592328,356895,341934,367703,87065,123133,104563,187191,180618,12504,169416,124407,447349,191850,176096,176277,321672,164503,324232,904209,328401,453185,388713,388590,235271,326604,346577,360827,323248,113314,228920,202213,236150,8010,313325,368583,140339,129794
2,10499,5643,0,15904,15035,703923,215713,9125,10107,332342,335989,7566,6747,7812,10872,677430,10336,12246,350340,12216,11977,8723,13239,430862,18950,300928,876140,4797,14801,64277,5708,11859,335070,456288,15874,453085,334766,28680,12054,63103,19310,320022,8601,14008,9416,665907,3525,665029,11962,976,664114,8477,204827,913824,186888,320363,14998,8803,10339,5182,11722,8025,8954,27432,10928,9192,772152,668703,70562,876880,10650,73176,4921,26648,9941,13203,10002,204923,5722,9044,662545,39372,14365,15514,8865,666037,102761,11282,4536,208351,679665,53915,12490,663120,93295,236989,26648,665497,4089,20102,7538,5276,7854,20341,3223,59241,111438,4565,11779,7760,20502,31212,2629,39372,16176,454055,13505,33415,14560,6665,35900,11531,6783,662191,662401,4890,10004,11498,94454,9732,7741,3465,11710,1747,9272,7277,10904,12224,2356,335345,10774,5236,7531,21779,14583,301094,11188,6827,10354,9435,8610,207643,95724,207428,4644,337606,241375,663148,55662,9979,654954,11142,334603,9806,181441,19760,14107,8345,3867,14536,7469,10667,64265,665020,12104,334430,6001,318835,6104,936,154304,142342,8762,169751,663085,14689,452885,30351,185072,237094,381275,279845,218426,198303,40318,24563,13153,938793,295953,164980,31895,62074,443761,7340,389610,207146,11034,12629,242867,23971,5483,475288,406858,401621,654523,16251,7052,11125,664770,667694,451436,875925,878130,58403,187160,177307,187459,170423,315795,217089,212612,454648,309255,19734,354412,10116,8420,12465,240287,207772,45530,4044,164980,18932,11622,9014,16813,662675,271884,10687,11431,4485,239415,662386,666715,181785,7219,13123,250842,142620,272006,236712,187189,57652,475288,343589,237289,174177,16221,8516,13466,6503,8678,12865,189229,63146,451480,652803,223668,200791,10776,335361,193067,350410,760633,669362,26060,208461,272412,7330,876002,237861,240620,3604,352689,271324,27058,12147,153175,246332,45838,206589,196950,37239,66219,230189,61337,79949,184110,180885,77651,79563,133511,180909,144507,197739,329045,288828,333945,267947,678891,95232,293281,281705,526258,601669,366237,351275,377044,92534,128602,106566,196533,202442,7664,178757,126410,452818,201191,185438,185618,331014,173845,333574,913551,337742,458654,398055,397932,237274,332073,355918,370169,332589,118783,238262,211554,238153,6154,322666,377925,145808,131797
3,20462,21684,16040,0,8101,734682,246473,18743,21981,363101,366748,20100,19983,19980,21459,698680,20299,20442,381100,20412,20977,20760,23202,478541,27626,337002,906899,20584,30841,98358,21749,21582,365829,503967,30928,500764,365525,28487,19697,81261,21707,367701,24642,22525,17995,698486,19565,695788,21925,16503,694873,19365,235586,944583,204959,368041,24825,24843,19859,17744,21686,18913,18572,30109,22778,19155,802911,699463,88632,907639,20170,76173,14372,69590,19663,22552,19316,235683,21763,23027,693304,37430,24116,16936,20136,698616,100819,18816,14257,239110,697638,61839,28531,693880,157671,255060,69590,696256,20130,11932,20276,21316,18742,36382,18927,61917,119361,20351,21156,20996,53720,50313,18333,37430,26603,501733,22705,49729,30600,22706,53176,21987,20019,692951,693160,20189,19968,19694,158829,19696,17704,19038,22360,17787,19235,12345,20424,28265,18396,366104,20294,14686,19655,10949,2506,337169,27229,22867,19875,25476,20778,238402,103094,238187,19296,368365,259446,693907,63585,26019,685713,20743,365362,19769,212201,35800,30147,20826,19441,24307,21740,20390,98346,695780,22275,365189,18363,349594,18126,16977,185063,166923,17168,177674,693844,22567,500564,11708,203143,284773,428954,287768,226350,229062,42995,22819,19701,969552,314023,172903,102126,56303,491440,12272,420369,237905,20152,28670,273626,58160,21524,506047,437617,449300,685282,26678,20250,13132,695529,696548,499115,906685,908890,66326,205231,208067,205529,178346,363474,247848,245625,502327,356934,24438,385171,26156,9371,20661,258358,238531,48206,19937,195739,28723,19265,13884,11629,693434,302643,20207,22697,20272,287093,693145,697474,199856,20456,23793,268913,167201,302765,254783,205260,105183,506047,374348,284968,204936,1656,19404,21545,15718,19566,21838,207300,81305,499159,683563,254427,231550,20739,366120,223826,381169,791392,696334,54778,239220,303171,19895,906761,255932,258691,19068,383448,302083,43098,20343,183934,277091,48514,237348,215021,93459,90800,248259,69261,110708,214869,211644,85575,110322,151582,211668,175266,215810,376724,319588,381624,298706,709650,125992,317276,313568,557017,632429,396996,382034,407803,156910,195388,124637,227292,220513,13897,209516,134334,500496,238558,216197,216377,361773,204604,364333,944310,368502,506333,428814,428691,255345,379752,386677,400928,363348,180696,269021,242314,256224,18179,353425,408684,193487,149868
4,22955,22769,14630,8847,0,726229,238020,21580,24737,354649,358296,21502,20683,21749,25502,699737,22791,23226,372647,23196,26607,22660,25694,500898,43915,323234,898447,21259,29431,86584,22835,24013,357377,526324,22216,523120,357072,63195,12103,72809,12287,371742,24568,28638,20782,688214,18155,687336,24417,15092,686421,21548,227133,936131,196506,372082,29628,24771,22290,19119,24178,21096,21409,21397,21750,21647,794459,691010,80180,899187,22601,98529,14652,61138,22094,25336,21194,227230,20352,21999,684851,59787,28995,24736,21936,688344,123175,22444,11397,230658,701972,53386,26630,685427,130267,246608,61138,687804,18719,19732,21475,19905,20925,36321,17761,53206,110909,21026,21397,21696,42625,47192,17167,59787,34403,524090,28135,41277,38055,21295,108164,23482,20719,684498,684708,19520,22460,22478,131425,22188,20196,17796,23662,16376,21727,7984,22855,26854,16986,357652,22726,14967,21467,18749,7994,323401,25818,23666,22306,24065,22547,229950,125450,229735,18650,359913,250994,685455,55133,24609,677260,23093,356909,22261,203748,35740,28737,22282,18198,29166,22440,22821,86572,687327,26734,356737,19937,341142,20309,15566,176610,189279,19954,169222,685391,25059,522920,10153,194690,307130,451310,279316,217898,220610,34283,30619,25430,961099,305571,164451,47875,65131,513797,7912,411917,229453,22094,26769,265174,49707,20113,497595,429165,471657,676830,34478,20989,19268,687077,690001,521471,898232,900437,58533,196779,199614,197077,169894,367568,239395,234919,524684,379290,32238,376719,24256,7667,23445,249906,230078,39495,18771,187287,36522,11670,7659,3721,684982,294191,22638,25481,20947,309450,684693,689022,191403,21156,27753,260460,189557,294313,246331,196807,79959,497594,365896,307325,196484,9164,21587,24037,17901,21749,27495,198848,72853,521515,675110,245975,223098,23231,357667,215373,372717,782939,691669,42040,230768,294719,21267,898309,247479,250238,18234,374996,293631,43038,23127,175482,268639,39803,228895,206569,91138,113156,239807,60808,102256,206417,203192,77122,101870,143130,203216,166814,207357,380817,311135,385718,290254,701198,117539,315588,304012,548564,623976,388543,373582,399351,129506,186935,116185,218839,212060,16595,201064,125882,522853,223498,207744,207925,353320,196152,355881,935857,360049,528689,420361,420238,246893,381383,378225,392475,354896,172244,260568,233861,247771,20362,344973,400232,215844,141415
5,703439,697087,703145,746262,737833,0,490693,706690,700583,392405,384084,703330,703354,703619,701349,27628,704988,704729,386478,704032,702453,703200,679853,257720,676989,442492,179368,698139,676372,656667,697715,698077,388215,227571,706912,233523,385665,711583,713382,668712,713059,404752,696832,679621,705920,28085,700290,29297,681844,701275,28148,705349,509416,226313,639643,405092,676659,697203,706765,704566,681108,705158,706519,704496,697772,705301,75380,27062,681616,180108,707076,682094,707058,678695,706861,699937,706012,509513,699546,713109,63947,708810,677401,702615,704129,28215,774508,704994,706453,506785,30586,693653,694342,62383,614588,669590,678695,28491,699914,726757,703288,698726,705027,671989,702765,726882,712488,703780,705443,702686,675699,672060,702815,708810,699820,233191,679118,691540,673481,698530,669393,700111,703552,61454,61664,700486,704007,703981,615746,704989,707816,701225,698624,701703,704700,719579,706274,677675,700841,385728,706632,707431,704043,727754,745871,443557,677767,696803,706213,699912,703299,512232,678960,512017,701723,387419,673976,61985,713787,677269,55825,705030,385428,704133,531837,672385,675429,702787,701300,676903,701124,699758,656655,64283,702580,385725,704840,404445,704944,702426,560009,657070,706353,687514,61922,680775,228932,734378,628191,462357,386991,765022,785840,508604,715247,725859,707533,251282,728553,770630,667367,740390,248937,719642,347173,511735,704439,692252,508855,689722,697692,237192,552282,290849,79809,699894,704370,710808,29508,30299,234587,179153,181358,716528,639915,535301,640214,688186,407202,492068,531132,232864,467690,702091,369392,696615,732432,699501,672888,508178,720458,702565,539261,697031,712950,728455,726706,61938,489469,699442,700083,698501,465362,29398,70767,659149,702927,676887,683442,657348,441789,669313,639944,659900,237192,399426,464717,538484,746579,704843,703942,706857,704445,703341,632348,668357,234632,36113,491167,529884,704079,388506,514540,386548,59209,30003,668427,537582,491020,703301,179230,670462,673220,701726,421853,482689,680338,703963,562107,499204,720766,511178,640069,657569,650410,662789,719462,627892,537928,530128,714765,627505,646751,530152,571516,616431,420452,436845,423290,447431,28779,619668,449387,455932,179351,104164,353504,363281,356980,613846,605101,659345,539651,610824,709314,536605,732060,228935,543810,524604,524784,385164,536054,393362,226040,383701,229291,355618,355495,680393,389944,379688,341170,399656,587511,503534,502014,670753,704993,386113,357740,559466,630261
6,213200,206847,212905,256023,247594,490117,0,217489,210344,118536,122183,213090,213114,213379,211110,463625,214748,218611,136535,218912,212214,212960,197073,305162,194209,136875,662334,207900,194581,174821,207476,216253,121264,330588,216673,327385,120960,244222,223143,178473,222819,185383,206592,214245,218022,452102,210050,451223,215115,211035,450308,215110,19996,700018,150223,185723,194868,206964,216915,214326,215664,214919,217318,214256,207532,215062,558346,454898,191376,663074,217226,238341,216818,188455,216349,217749,218734,20093,209307,222869,448739,241449,195610,235424,213890,452232,307147,219875,216213,17303,465860,203413,204102,449315,124274,180170,188455,451691,209675,281358,213048,208486,214788,190847,212525,236643,222248,213540,218355,212447,192919,193714,212575,241449,232629,328354,213742,201301,191690,208290,191047,217428,213313,448386,448595,210246,213767,218195,125433,214750,216500,210985,216972,211464,214460,229339,216648,212462,210602,121539,216018,217192,213804,281328,255631,137042,211425,206563,216587,209672,213060,22813,235207,22597,211484,123800,184556,449342,223547,193926,441148,217645,120797,213893,41598,189264,193638,212548,211061,195112,210885,215912,174809,451215,212341,120624,214601,105030,214704,212186,69770,213317,218099,198095,449279,214926,327184,244139,138771,123945,255467,275602,296420,19184,225008,258498,222842,724987,239134,280390,182745,273028,318061,229402,175805,22316,217730,202013,71910,199482,207453,261482,193052,275921,440717,232703,214131,220453,450964,453888,325735,662120,664325,226288,150496,45062,150794,198767,181208,2255,92181,328948,216455,234900,140606,206376,242192,218421,183468,38775,230219,212326,47341,229840,222711,238216,236466,448869,58078,217034,217895,208261,121416,448580,452909,169729,212688,193806,194023,213595,58200,179893,150524,169672,261482,129783,118057,46681,256340,214604,213703,216618,214206,213102,142929,178117,325780,438998,9825,39570,213840,121555,25121,136604,546827,455556,191246,80837,58606,213061,662197,181042,183801,211486,138883,57518,181409,218844,71867,32526,230527,21758,150650,179375,206658,173370,229222,137652,47614,40708,224526,137266,157332,40733,81277,127012,194458,75023,178464,54141,465085,129429,129229,117653,312452,387864,152431,137469,163239,123533,114787,169925,76102,121405,219074,46291,241821,327117,80882,32082,32780,117208,44251,119768,699745,123937,332953,184249,184126,190974,195024,142112,156363,118783,97197,83958,12244,181334,214754,108860,164119,148440,140841
7,3854,11909,8931,19042,20967,704816,216607,0,7781,333235,336882,4641,5338,4298,6084,665255,2396,3402,351234,3372,5693,6064,5392,445116,9890,303577,877034,11306,10706,65143,13056,3657,335963,470542,24704,467339,335659,21977,20177,69706,27433,334276,15204,5916,877,665061,7924,663588,4115,9350,665008,2940,205720,914718,193491,334616,8216,15406,1934,4912,3876,4157,435,33054,17531,2546,773046,669597,77165,877773,2245,64332,6870,31414,1738,5001,1589,205817,8632,17874,663438,32669,7507,7884,3527,665191,96057,2766,12062,209244,664213,60518,17277,664014,89592,243592,31414,664441,7927,16271,5520,12635,3581,17929,6032,67363,118041,11445,3374,6564,11457,34116,6733,32669,7332,468308,6097,40018,11403,9596,36980,3126,5536,663085,663294,7318,3359,2654,90751,3087,1732,6948,3305,8349,2626,13822,2499,8588,8959,336239,2369,7244,3973,18003,18112,303744,9161,11625,1950,7647,5348,208537,86880,208321,13018,338500,247978,664042,62265,10615,655847,2737,335496,3160,182335,15406,10978,5856,7425,7698,7283,2465,65130,665914,5666,335324,3269,319729,3032,8836,155197,133498,1017,176354,663978,4914,467139,27481,191675,251348,395529,286448,225029,199196,48441,14759,5115,939686,302556,171583,25416,57350,458015,13885,390504,208040,2190,17444,215705,30574,11602,477931,407751,415875,655417,7407,5494,7219,664770,663123,465690,876819,879024,65006,193763,178201,194062,177026,330049,217982,212200,468902,323509,12104,355305,16719,12783,3621,246890,208665,53653,5557,165874,10088,19744,15824,19738,663569,272778,2282,5146,11366,253668,663279,667608,188388,6072,9254,257445,133776,272900,243315,193792,71968,477930,344483,251543,175071,19359,3503,4936,4178,3554,5229,195832,69749,465734,653697,224562,201685,4130,336254,193960,351304,761526,662909,15027,181299,273306,5139,876896,244464,247223,6499,353582,272217,23355,3303,154069,247225,53961,207482,203553,60244,57375,236792,67940,80843,185004,181778,84254,80456,140114,181803,145401,204342,343299,289722,348199,268841,679785,96126,283851,280143,527151,602563,367130,352169,377938,88832,124900,113169,169371,209045,5722,179651,133013,467072,205133,186331,186512,331907,174738,334467,914444,338636,472908,398948,398825,243877,346327,356812,371062,333483,115080,211100,212448,244756,3085,323560,378818,160062,138400
8,3660,6203,7060,21867,21336,699110,210901,7930,0,327530,331177,3746,3229,3535,1570,672618,5209,9071,345528,9823,2674,3421,6852,418971,9648,268353,871328,8097,5293,28677,7350,6714,330258,444397,20045,441194,329954,28859,20102,66109,28492,308131,10619,4705,8799,661095,4626,660217,5576,7480,659302,5700,200014,909012,189894,308471,5491,10186,7946,4372,6125,5248,7758,28395,13915,5522,767340,663891,73568,872068,8257,67021,8672,25708,6809,8210,9384,200111,2319,13215,657732,39551,4803,15249,4350,661225,102940,10861,10837,203539,638068,65514,11571,658308,84180,239996,25708,660685,3396,22742,3032,2854,5386,10253,4774,80356,123037,8538,9386,2291,10995,18960,4860,39551,13783,442163,4203,45014,7547,3312,23649,7889,3427,657379,657589,3211,4228,9105,85338,5210,6546,3650,7433,4691,4921,17262,7109,2717,4756,330533,6479,9045,4655,24868,20547,268520,2529,5919,7048,1012,3520,202831,85431,202616,13825,332794,244382,658336,67261,4185,650141,8106,329791,4354,176629,9994,4616,2738,3318,5029,715,6372,28665,660208,2802,329618,4647,314023,4750,6341,149491,140257,8144,181350,658272,5387,440994,39532,188079,225203,369384,291444,230025,193491,49500,21641,12888,933980,298959,176579,20004,64232,431870,17325,384798,202334,8641,11738,210293,26977,5896,470476,402046,389730,649711,13858,4176,10499,659958,662882,439545,871113,873318,70002,190167,172495,190465,182022,303904,212276,180037,442757,297364,19469,349600,12759,14721,8881,243294,202959,54711,4054,160168,14542,19670,18195,25994,657863,267072,7495,8355,8458,227523,657574,661903,184792,2671,2966,253848,140535,267194,239719,190196,33241,470475,338777,225398,169365,22184,5203,4163,6663,4666,3563,192236,66153,439589,647991,218856,195979,4300,330549,188255,345598,755820,636764,12666,175887,267600,3511,871190,240868,243626,3787,347877,266512,17943,9754,148363,241520,55019,201776,199957,25348,55926,233195,72936,75137,179298,176073,89250,74751,136518,176097,139695,200746,317154,284016,322054,263135,674079,90420,260707,249131,521445,596857,361424,346463,372232,83419,119487,109573,163958,185148,9120,173945,138009,440926,168617,180625,180806,326202,169033,328762,908738,332930,446763,393243,393120,240281,320182,351106,365356,327777,109668,205687,206742,241159,4800,317854,373113,133917,134803
9,330827,324475,330533,373650,365221,398030,118080,335116,327971,0,10000,330717,330741,331006,328737,371537,332375,336238,7732,336540,329841,330587,314775,216586,311911,64783,570247,325527,312282,292522,325103,333880,5093,242012,334300,238809,6231,361923,340770,296100,340447,75754,324220,331872,335649,360014,327678,359136,332742,328662,358221,332737,136803,607931,267030,76094,312569,324591,334542,331953,333292,332546,334945,331884,325160,332689,466259,362810,309003,570987,334853,356043,334445,306082,333976,335377,336361,136900,326934,340497,356651,359150,313312,353126,331517,360144,424848,337502,333841,134172,373772,321040,321729,357227,241976,296978,306082,359604,327302,398985,330676,326113,332415,308549,330152,354270,339875,331167,335982,330074,310621,311415,330203,359150,350330,239779,331369,318928,309392,325917,308749,335055,330940,356298,356508,327873,331394,335822,243134,332377,334127,328613,334599,329091,332088,346967,334276,330089,328229,6810,333645,334819,331431,398955,373258,65848,329052,324190,334214,327300,330687,139620,352908,139405,329111,7269,301363,357255,341174,311628,349060,335273,6068,331520,159225,306966,311339,330175,328688,312813,328512,333539,292510,359127,329968,5895,332228,14061,332331,329813,187397,331019,335726,314902,357191,332553,238609,361766,255578,106732,189854,392409,413227,135992,342635,376199,340469,632900,355941,398017,300446,390730,229486,347030,83717,139123,335358,319640,137783,317109,325080,169395,194681,187345,348630,350405,331758,338080,358877,361801,237160,570032,572237,343915,267303,162689,267601,315574,73193,119456,174121,240372,161898,352602,34577,324003,359819,336048,300276,135566,347846,329953,166648,347542,340338,355843,354094,356782,131867,334661,335522,325888,109738,356493,360822,286536,330315,311507,310830,331297,69177,296701,267332,287373,169395,11650,109093,165872,373967,332231,331330,334245,331833,330729,259736,295744,237204,346910,118555,157271,331467,5403,141928,7506,454739,363469,308948,169666,133418,330688,570109,297849,300608,329114,64252,110076,299111,336471,189494,126591,348154,138565,267457,297076,324359,290177,346850,255279,165316,157516,342153,254893,274139,157540,198904,243819,63713,64233,57273,74819,372998,247056,83020,89565,220364,295776,67155,62878,52754,241234,232488,286733,171735,238212,336701,163992,359448,238542,175895,151991,152172,40438,163442,45137,607657,10413,244378,92162,92039,307781,85403,29500,64276,7952,214899,143416,129402,298141,332381,34230,58754,220500,257649
