,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,882426,435856,563941,357557,1092743,1073436,1082372,1077251,1073961,953513,950357,783174,1072705,954218,1087247,446709,415783,480268,1062621,754287,1075588
1,882426,0,452392,1441995,1235611,248649,229342,238278,233157,229867,63980,106263,293964,228611,110124,243153,443157,679305,1358322,218527,219278,231494
2,435856,452392,0,995206,788822,662430,643123,652059,646938,643648,523200,520044,352861,642392,523905,656934,16304,232516,911533,632308,323974,645275
3,563941,1441995,995206,0,206091,1650792,1631485,1640421,1635300,1632010,1511562,1508406,1341223,1630754,1512267,1645298,1004758,973832,186671,1620670,1312336,1633637
4,357557,1235611,788822,206091,0,1445627,1426320,1435256,1430135,1426845,1306397,1303241,1136058,1425589,1307102,1440131,799593,768667,279763,1415505,1107171,1428472
5,1092743,248649,662430,1650792,1445627,0,19843,13990,24735,28386,229636,142728,378932,22192,139723,19269,652664,888812,1567829,30359,431920,29712
6,1073436,229342,643123,1631485,1426320,19843,0,12485,7336,7803,211039,124015,360335,981,121149,18832,634243,870391,1549408,11763,413323,12536
7,1082372,238278,652059,1640421,1435256,13990,12485,0,15136,18787,220037,133013,369333,12593,130147,20933,643241,879389,1558406,20760,422321,20336
8,1077251,233157,646938,1635300,1430135,24735,7336,15136,0,13927,211578,124554,360874,5236,121688,15235,634782,870930,1549947,11855,413862,6323
9,1073961,229867,643648,1632010,1426845,28386,7803,18787,13927,0,211447,124423,360743,7667,121557,25134,634651,870799,1549816,10037,413731,18838
10,953513,63980,523200,1511562,1306397,229636,211039,220037,211578,211447,0,105483,309984,199959,109344,214501,515666,751814,1430831,189875,281787,202842
11,950357,106263,520044,1508406,1303241,142728,124015,133013,124554,124423,105483,0,238269,123545,6198,138087,511280,747428,1426445,113461,290360,126428
12,783174,293964,352861,1341223,1136058,378932,360335,369333,360874,360743,309984,238269,0,359210,241525,373751,343878,580026,1259043,349126,413228,362092
13,1072705,228611,642392,1630754,1425589,22192,981,12593,5236,7667,199959,123545,359210,0,120357,19397,633451,869599,1548616,10970,412531,13101
14,954218,110124,523905,1512267,1307102,139723,121149,130147,121688,121557,109344,6198,241525,120357,0,135070,515132,751280,1430297,110444,294212,123426
15,1087247,243153,656934,1645298,1440131,19269,18832,20933,15235,25134,214501,138087,373751,19397,135070,0,648629,884777,1563791,27569,427709,14902
16,446709,443157,16304,1004758,799593,652664,634243,643241,634782,634651,515666,511280,343878,633451,515132,648629,0,243445,922462,623429,312903,636396
17,415783,679305,232516,973832,768667,888812,870391,879389,870930,870799,751814,747428,580026,869599,751280,884777,243445,0,851295,831359,523025,844326
18,480268,1358322,911533,186671,279763,1567829,1549408,1558406,1549947,1549816,1430831,1426445,1259043,1548616,1430297,1563791,922462,851295,0,1538736,1230402,1551703
19,1062621,218527,632308,1620670,1415505,30359,11763,20760,11855,10037,189875,113461,349126,10970,110444,27569,623429,831359,1538736,0,402507,21085
20,754287,219278,323974,1312336,1107171,431920,413323,422321,413862,413731,281787,290360,413228,412531,294212,427709,312903,523025,1230402,402507,0,415587
21,1075588,231494,645275,1633637,1428472,29712,12536,20336,6323,18838,202842,126428,362092,13101,123426,14902,636396,844326,1551703,21085,415587,0
