,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,0,23965,25639,20638,20293,23792,25997,24976,29820,24675,25169,27025,25244,26777,30096,24105,18651,26551,24136,24799,25303,30495,20238,27232,21047,28194,20495,28168,26104,26245,24416,25977,26389,21086,13165,31246,20485,19948,25130,28742,26005,19146,24542,26822,18395,19225,33564,22444,24454
1,23965,0,5411,4752,4731,3503,1874,3008,9194,4447,4158,4900,3317,4738,9470,13310,7032,2742,4082,822,13837,9424,10176,4964,4320,9906,6020,5521,1981,3047,932,3010,2266,5882,8630,18868,17131,27157,2163,7671,12014,13212,566,2948,9380,14558,12938,4253,3490
2,25639,5411,0,1929,2796,4103,4496,3475,4744,2067,8888,4114,2519,3866,5020,8223,5946,2518,2379,4442,21889,14620,6295,4321,1940,5772,3233,4392,3796,3334,4758,3136,4888,2287,8758,24065,12044,22117,3629,12867,6005,9964,4988,3911,12662,9932,8488,4583,2236
3,20638,4752,1929,0,2210,2908,3302,2281,6154,1409,7694,4536,2549,4288,6430,9359,5388,2473,870,3248,17598,12918,6852,5199,409,7182,2721,5756,3409,3756,3564,3237,3694,2844,7563,22363,13180,21772,2435,11165,7284,10521,3686,4376,8371,10489,9898,3896,1297
4,20293,4731,2796,2210,0,2271,4789,3768,6783,2896,9181,5879,4276,5631,7059,8864,4015,3960,2357,4388,17765,12990,7160,6086,1896,7811,1475,6157,4896,5099,4005,4724,5181,2733,6926,23574,12683,20526,3922,11236,10157,11526,4131,5863,8539,13926,10527,2751,2784
5,23792,3503,4103,2908,2271,0,4464,4203,10651,3759,7179,7856,4471,7608,10927,12896,5108,4395,3220,3369,15927,11971,9071,8063,3201,11363,3282,8999,5742,7076,2986,6808,6027,4038,5396,21736,16717,20752,3101,10217,12068,12619,3112,7653,6701,14152,14395,953,3647
6,25997,1874,4496,3302,4789,4464,0,3096,6484,4535,6090,3287,3296,3288,6760,10298,7741,2721,4060,1531,16158,9774,9762,3351,4138,7196,6729,3908,1561,3026,1641,2989,1846,5970,13680,19219,14119,24192,2872,8021,9304,13833,1759,2528,11701,14537,10228,4962,3468
7,24976,3008,3475,2281,3768,4203,3096,0,6707,2158,6069,3202,1544,3511,6983,8592,6513,1468,1881,1623,15749,11293,7601,3574,1959,7419,4539,4131,1784,2422,1939,2232,2069,3593,11117,20738,12413,22486,810,9540,9527,12127,2061,2751,9002,12831,10451,4526,1289
8,29820,9194,4744,6154,6783,10651,6484,6707,0,6156,12316,5149,6005,4427,628,5782,9754,5981,7634,9122,22252,16025,7943,3954,6029,1064,8921,3784,6067,5154,9232,4993,6838,7974,15058,25470,11212,21285,7777,14272,3178,10926,9350,4946,14710,11630,4735,10235,7042
9,24675,4447,2067,1409,2896,3759,4535,2158,6156,0,8004,4677,3074,4429,5857,8786,4661,3073,1180,3558,17930,13228,5584,4884,741,6609,1909,4955,3719,3897,3874,3699,4004,1576,7572,23739,12607,21172,2745,11475,6692,8077,3996,4686,8703,9221,9325,3397,1607
10,25169,4158,8888,7694,9181,7179,6090,6069,12316,8004,0,6288,6297,6289,11927,15767,13139,5722,7061,4103,14645,7802,16284,6352,7139,12363,9852,6909,4562,6027,4419,5990,4847,8971,12167,17248,19588,27965,5004,6050,14471,19302,4569,5529,10188,20006,15395,9165,6469
