latitude,longitude
37.51031,127.00696
37.56176,127.03833
37.51354,127.05272
37.56177,126.94147
37.55797,126.86227
37.51467,126.89865
37.38801,127.12325
35.85567,128.49373
37.56893,126.98422
37.57977,127.04483
37.47998,126.88251
37.53524,127.0696
35.24025,128.65276
36.35098,127.38951
37.56368,126.9646
37.31724,126.83747
37.5268,127.03472
37.58731,127.02721
35.14831,129.11417
37.48448,126.8945
35.22447,128.68395
37.577317,126.891181
37.54146,126.94882
37.36061,126.93174
37.48437,127.01422
37.49991,126.74492
34.891009,128.616632
37.55952,126.97212
37.49827,127.02686
37.324993,127.108109
37.37949,127.11417
37.325,127.10813
37.26748,127.00286
35.15859,129.15053
35.83572,128.7198
35.55397,129.32119
35.1772,126.91248
37.3703,127.10559
35.2196,128.58636
37.59575,127.0614
37.67155,126.75899
37.60038,126.92027
37.32537,127.10993
37.36682,127.10673
37.24125,127.61296
37.39228,126.95652
37.49538,126.95489
37.47781,127.04514
37.49804,127.06849
37.56966,126.98645
37.48588,126.89161
37.48801,127.10175
37.52025,126.92637
37.51053,127.07905
37.49335,127.06191
37.50237,127.0407
37.50209,127.0368
37.51662,127.04123
37.51108,127.09381
37.56976,126.99179
37.55854,126.97546
37.45167,126.70749
35.16914,129.17666
37.54069,127.07074
36.34642,127.38787
37.526848,126.875023
35.09895,129.028
37.54043,126.94632
37.56317,126.94679
37.49592,127.03886
37.53638,126.87856
37.58302,126.99832
37.48385,126.93018
37.87999,127.72752
37.56996,126.98455
37.4442,126.70218
36.35295,127.37779
37.55328,126.92483
37.517172,126.903269
37.24272,127.61263
37.48204,127.04257
37.5173,126.905548
37.48609,126.92916
37.49067,127.00861
37.49925,126.99848
37.49972,127.03491
35.15241,128.10571
36.10809,128.41838
35.11632,129.04078
35.15364,126.84791
37.57532,126.96925
37.65049,127.07599
37.49159,126.72449
37.52899,126.99178
37.39919,126.92369
36.12817,128.33269
37.490072,127.054889
37.63353,126.83145
37.581,128.32859
37.51532,127.09955
35.86616,128.59187
37.56248,126.97679
37.41041,127.1273
36.81918,127.153
37.55848,126.94596
37.5752,126.97394
37.50704,127.05555
37.56712,126.96866
37.55649,126.93712
37.52404,126.92452
37.56782,126.97874
37.50378,127.0512
37.57126,126.97631
37.52959,126.92027
37.52674,127.02811
37.57217,126.987
37.56105,126.99527
37.25044,127.02087
35.14809,126.91731
35.15503,129.12084
37.4263,126.99185
35.1603,126.88012
37.73959,127.04813
37.53455,126.9019
35.23062,129.08665
35.15968,129.15951
37.55219,126.95552
37.53795,127.12458
35.16012,129.16658
37.57081,127.02248
37.49562,127.02771
37.4773,126.88769
35.52115,129.43173
35.1723,129.17559
37.5378,127.07255
37.44622,126.70102
37.60838,127.02875
37.86381,127.71833
35.16885,129.13544
37.57155,126.99871
37.50329,127.04364
35.13742,129.10093
37.48467,127.01695
37.63804,127.0264
37.48201,126.99764
37.51465,127.03073
37.50394,127.04851
37.52406,127.02791
37.564764,126.978911
37.50943,127.0134
37.46331,127.03684
37.56132,126.97303
37.55625,126.93928
36.32908,127.42766
37.56956,126.98212
37.50006,127.02542
37.58397,127.02974
37.49236,127.01422
35.82125,128.64064
37.55874,126.9731
37.55727,127.04216
37.5446,126.96723
37.56347,126.97554
37.49966,127.06222
37.52948,126.95815
37.50428,126.76217
37.522562,126.930043
37.5835,127.00116
34.89353,128.69182
37.49307,126.72493
35.15797,129.06004
37.37783,127.11389
37.47849,126.98135
37.48115,127.01347
37.58154,127.00234
35.16891,129.12963
37.5008,127.03516
37.50898,127.04039
37.49144,126.92337
37.40461,126.6811
37.56418,126.98451
37.50272,127.04431
37.46384,126.68074
37.48859,127.03242
36.320472,127.408522
37.5198,126.88968
37.50593,127.05793
37.57079,126.99019
37.48766,127.01528
37.51869,126.90957
36.013016,129.34869
37.559839,126.964024
37.27124,127.12609
37.44147,126.70131
37.33896,127.10948
35.14957,126.91495
37.53044,126.92106
37.5046,127.10619
37.52668,127.04062
37.47978,126.88765
37.48174,126.89344
37.53481,127.13847
37.592909,127.05273
37.49187,126.72219
37.529391,126.875181
35.867587,128.596644
36.358982,127.387649
37.577212,126.972591
37.319859,127.083321
37.305464,127.105272
37.569117,126.985887
35.122875,126.914159
36.643889,127.424798
37.5397,127.053008
37.555827,126.910737
36.053714,129.375333
35.156863,129.058076
37.614253,127.077904
37.477242,126.883829
37.557796,126.938084
37.428183,126.991074
37.563528,126.969144
37.617784,126.920049
37.605817,126.96672
37.544118,126.971891
37.769578,126.696417
37.471537,126.702361
35.152039,126.85338
35.098311,129.035151
35.190481,126.824676
37.520176,126.929426
37.654462,126.773279
37.575578,126.980581
37.565722,126.98329
36.795879,127.127159
37.385921,127.124098
35.337026,129.026484
37.214754,127.079887
35.870899,128.727397
35.147468,126.847989
37.261414,127.031229
37.561499,126.993864
37.371675,127.107214
37.475412,126.865869
37.494299,127.121354
35.835315,128.579907
35.084043,128.903135
37.278191,127.446323
33.486046,126.49088
37.475412,126.865869
37.494299,127.121354
33.486046,126.49088
37.278191,127.446323
35.835315,128.579907
37.371675,127.107214
35.084043,128.903135
